"gc","map"
0.398805,0.919312
0.370713,0.921846
0.358881,0.907002
0.356227,0.914924
0.36936,0.943234
0.393803,0.913258
0.392336,0.898985
0.383666,0.881064
0.396062,0.896113
0.414628,0.916169
0.423824,0.902396
0.436908,0.875333
0.420481,0.867171
0.420905,0.879094
0.451747,0.932578
0.479335,0.898734
0.46291,0.867711
0.492271,0.887833
0.465152,0.859314
0.41209,0.879529
0.41084,0.917298
0.428453,0.898526
0.401212,0.849701
0.438966,0.899021
0.468416,0.892956
0.390723,0.928958
0.421887,0.847481
0.410459,0.86973
0.439651,0.894088
0.431391,0.87297
0.415831,0.877008
0.440877,0.917204
0.466378,0.917403
0.397867,0.844513
0.450031,0.868543
0.424884,0.900012
0.474527,0.92072
0.470648,0.909675
0.428555,0.931974
0.44008,0.827376
0.497602,0.858466
0.425076,0.876341
0.430009,0.905188
0.398774,0.888472
0.3757,0.884366
0.40326,0.885611
0.426162,0.858978
0.415412,0.86476
0.395972,0.854989
0.374406,0.879859
0.366244,0.881139
0.355742,0.879323
0.363553,0.904999
0.391147,0.873777
0.365299,0.816725
0.366308,0.794071
0.37765,0.784132
0.360541,0.859497
0.379674,0.790581
0.390022,0.894911
0.390106,0.881801
0.397915,0.907179
0.366962,0.919354
0.385726,0.885184
0.406101,0.821907
0.428732,0.843263
0.410949,0.911582
0.36727,0.922935
0.392846,0.88506
0.385527,0.942462
0.38536,0.895355
0.356853,0.939283
0.375978,0.908128
0.370751,0.886376
0.362468,0.890614
0.37294,0.899042
0.396889,0.895886
0.369773,0.903709
0.368522,0.930467
0.385499,0.906553
0.388931,0.895481
0.431479,0.902855
0.43688,0.587453
0.474687,0.922041
0.430902,0.925353
0.448865,0.90698
0.49628,0.92011
0.471137,0.902973
0.4483,0.920442
0.406456,0.900534
0.465169,0.924345
0.477352,0.895316
0.384137,0.922256
0.362929,0.902751
0.347207,0.881784
0.361515,0.88417
0.388129,0.89589
0.381673,0.68037
0.412389,0
0.387387,0
0.390018,0.791597
0.394403,0.889375
0.402161,0.897571
0.399029,0.884099
0.379758,0.896317
0.377462,0.859896
0.364787,0.897959
0.349961,0.876666
0.351794,0.818992
0.372405,0.908442
0.391004,0.91779
0.368888,0.915387
0.351933,0.909702
0.372767,0.888646
0.362952,0.918102
0.350831,0.890231
0.365317,0.833877
0.361663,0.899655
0.346561,0.877484
0.346644,0.881395
0.34582,0.866809
0.35368,0.936332
0.362483,0.912431
0.38435,0.917838
0.357657,0.939193
0.361389,0.865304
0.393109,0.885846
0.413271,0.825531
0.420174,0.831671
0.410582,0.897701
0.39879,0.915696
0.386439,0.908881
0.405921,0.704134
0.372284,0.927557
0.399734,0.923514
0.401701,0.847805
0.391536,0.740711
0.401508,0.881867
0.425616,0.887275
0.412556,0.853511
0.418203,0.875726
0.429998,0.921954
0.459751,0.851161
0.475137,0.827656
0.449213,0.83238
0.466651,0.840916
0.438048,0.920886
0.493191,0.886079
0.443121,0.846098
0.426181,0.88072
0.434995,0.915064
0.460115,0.914204
0.426815,0.906094
0.439623,0.884441
0.472669,0.924591
0.487255,0.885086
0.470144,0.906554
0.469175,0.892799
0.514624,0.889133
0.441202,0.869322
0.405418,0.863749
0.413503,0.8676
0.449493,0.845653
0.43023,0.918718
0.470828,0.873351
0.510198,0.881188
0.542371,0.871322
0.407146,0.878383
0,0.913646
0,0.887403
0,0.882476
0,0.908248
0,0.889906
0,0.883373
0,0.911814
0,0.932131
0,0.879245
0,0.857419
0,0.904717
0,0.887059
0,0.930856
0,0.910859
0,0.897689
0,0.868302
0.383045,0.888512
0.386874,0.870489
0.344501,0.879413
0.417382,0.864671
0.426058,0.890868
0.423514,0.876217
0.395202,0.831318
0.406981,0.870495
0.430671,0.842161
0.416227,0.860105
0.420926,0.905742
0.429857,0.905211
0.411689,0.919617
0.416704,0.913857
0.431792,0.898819
0.405887,0.895667
0.393144,0.917323
0.393041,0.888381
0.387701,0.707794
0.371868,0.820931
0.392345,0.705775
0.364906,0.8859
0.366316,0.802991
0.383954,0.887017
0.420111,0.844682
0.393597,0.82204
0.396029,0.770929
0.392138,0.872547
0.419857,0.907222
0.422329,0.927837
0.393041,0.870333
0.385705,0.411575
0.397087,0.923159
0.405525,0.878614
0.393987,0.894267
0.419195,0.910065
0.414538,0.894907
0.376269,0.898578
0.358656,0.908569
0.342273,0.884859
0.340556,0.899897
0.346077,0.897236
0.352059,0.914942
0.375861,0.910594
0.376196,0.874505
0.352048,0.928359
0.340767,0.914765
0.345415,0.871918
0.341741,0.876162
0.343129,0.919051
0.350445,0.92063
0.349339,0.920913
0.339802,0.932104
0.341023,0.935469
0.342086,0.925885
0.346384,0.915116
0.369004,0.921085
0.39114,0.917041
0.374712,0.905285
0.382618,0.878187
0.378507,0.882684
0.37368,0.808661
0.37349,0.825683
0.376207,0.896035
0.373063,0.886828
0.348027,0.881085
0.342544,0.904998
0.346382,0.888783
0.345684,0.894964
0.348946,0.909672
0.32749,0.851449
0.342036,0.307134
0.344886,0
0.345611,0
0.35855,0.819738
0.365572,0.818818
0.356613,0.830981
0.365888,0.876324
0.393932,0.861139
0.409717,0.829147
0.383613,0.858449
0.403489,0.884371
0.442148,0.878197
0.436078,0.886873
0.414709,0.908744
0.37398,0.881878
0.386102,0.889655
0.368822,0.893245
0.359355,0.897449
0.36595,0.893393
0.39899,0.865352
0.375192,0.795479
0.378471,0.780526
0.410389,0.82419
0.456179,0.873074
0.421963,0.846757
0.480483,0.888641
0.49226,0.870773
0.484278,0.795696
0,0.89497
0,0.865036
0,0.879669
0,0.898232
0,0.905348
0,0.887217
0,0.831009
0,0.870641
0,0.886109
0,0.88329
0,0.849702
0,0.851924
0,0.860124
0,0.906402
0,0.890358
0,0.841429
0.37908,0.907142
0.387086,0.899698
0.320689,0.870624
0.359282,0.909099
0.415988,0.919217
0.416116,0.829683
0.426723,0.869607
0.453387,0.830999
0.446134,0.909537
0.378503,0.890737
0.357138,0.821171
0.344271,0.834528
0.35738,0.88303
0.362626,0.873727
0.378206,0.863542
0.400584,0.889801
0.384898,0.894338
0.388098,0.867274
0.422492,0.866944
0.401029,0.873509
0.393365,0.854947
0.374424,0.911667
0.377664,0.914291
0.383668,0.902888
0.348117,0.914594
0.345814,0.892335
0.34689,0.753591
0.345117,0.816052
0.368991,0.891169
0.374909,0.896111
0.345118,0.864987
0.355774,0.878216
0.354128,0.90383
0.40552,0.915644
0.407969,0.887188
0.401285,0.834889
0.395844,0.844282
0.392849,0.884512
0.413202,0.913744
0.408635,0.698384
0.403869,0.900497
0.390896,0.910654
0.398236,0.892924
0.391549,0.905139
0.38173,0.935962
0.410633,0.91099
0.373859,0.880605
0.404834,0.86915
0.438102,0.890965
0.417873,0.872068
0.383092,0.899742
0.411841,0.746099
0.4354,0.833386
0.444573,0.856651
0.417621,0.902735
0.406436,0.87693
0.43851,0.896658
0.443894,0.885649
0.459755,0.887012
0.434655,0.886165
0.464725,0.912203
0.45909,0.885221
0.410275,0.910341
0.383271,0.916381
0.372596,0.921883
0.398234,0.901675
0.359886,0.84795
0.35193,0.869245
0.359332,0.884698
0.37363,0.916447
0.359772,0.908483
0.384972,0.895221
0.40211,0.818845
0.431263,0.87266
0.445539,0.883308
0.437841,0.884102
0.464716,0.894481
0.451644,0.86056
0.452958,0.861406
0.456809,0.923761
0.43636,0.904296
0.424091,0.894558
0.42041,0.910302
0.481237,0.912224
0.491488,0.912606
0.469351,0.899654
0.479034,0.907176
0.486881,0.914662
0.546911,0.927288
0.554649,0.915696
0.365401,0.897854
0,0.883083
0,0.871734
0,0.895046
0,0.863234
0,0.88726
0,0.859251
0,0.864466
0,0.77858
0,0.876028
0,0.942894
0,0.931493
0,0.922136
0,0.931623
0,0.926784
0,0.887097
0,0.90546
0,0.914735
0,0.884
0.376721,0.936692
0.3784,0.91185
0.359481,0.910987
0.408949,0.911565
0.366686,0.89645
0.410808,0.869351
0.400382,0.82394
0.394024,0.900528
0.430508,0.906624
0.410073,0.80249
0.415711,0.737414
0.442204,0.86834
0.433521,0.909492
0.426872,0.903194
0.447763,0.889883
0.415772,0.915421
0.410183,0.9118
0.410655,0.892018
0.373709,0.901584
0.369854,0.898139
0.372825,0.885781
0.395106,0.833354
0.397676,0.886025
0.480162,0.697026
0.461551,0.878394
0.429594,0.894304
0.439318,0.810543
0.409331,0.912894
0.433366,0.899038
0.36779,0.853813
0.38621,0.888407
0.390364,0.856454
0.374393,0.790921
0.402902,0.877024
0.413856,0.843451
0.416625,0.739636
0.381826,0
0.366746,0
0.402404,0.559362
0.376308,0.915482
0.412539,0.881207
0.407757,0.879703
0.41643,0.868127
0.411683,0.864433
0.398186,0.874579
0.429382,0.87528
0.429324,0.86903
0.447696,0.922058
0.44611,0.887947
0.472513,0.880999
0.422328,0.860141
0.444591,0.858356
0.449559,0.878828
0.449741,0.883653
0.412896,0.870716
0.429338,0.924106
0.444214,0.872637
0.499929,0.713805
0.471613,0.172755
0.407054,0.394913
0.470895,0.914719
0.46843,0.892533
0.430937,0.931606
0.440972,0.833706
0.408439,0.85187
0.44228,0.855454
0.409712,0.878303
0.427122,0.844021
0.432025,0.835318
0.395094,0.870114
0.396521,0.879394
0.464114,0.900991
0.464641,0.909042
0.466559,0.909855
0.417701,0.886572
0.437746,0.864458
0.423483,0.898041
0.388275,0.914799
0.380518,0.884002
0.401033,0.886969
0.381011,0.906413
0.435718,0.9055
0.421812,0.880631
0.444036,0.911187
0.450193,0.900445
0.567686,0.885356
0.577667,0.851873
0.550989,0.816129
0.488703,0.821648
0.515046,0.868986
0.456948,0.86708
0.413027,0.925612
0.411636,0.901721
0.444181,0.903939
0.432041,0.920956
0.454264,0.914719
0.483333,0.909278
0.458854,0.878665
0.41973,0.91282
0.446922,0.859998
0.462401,0.877342
0.458064,0.891947
0.434647,0.878082
0.426356,0.861157
0.449141,0.901824
0.427416,0.903093
0.439676,0.906339
0.440512,0.866664
0.450773,0.871
0.437789,0.89069
0.425574,0.875755
0.418014,0.90032
0.476538,0.897368
0.493411,0.907588
0.49008,0.866567
0.506046,0.856157
0.459436,0.888374
0.416287,0.876924
0.383956,0.87804
0.343123,0.808941
0.408296,0.864349
0.365959,0.875244
0.394777,0.859811
0.10807,0.898846
0,0.917705
0,0.889494
0,0.831909
0,0.816722
0,0.886471
0,0.861335
0,0.878772
0.261666,0.922131
0.397001,0.900437
0.436703,0.870469
0.470074,0.876938
