"gc","map"
0.58585,0.961381
0.61353,0.948826
0.63388,0.96556
0.632031,0.966057
0.646436,0.977298
0.644625,0.974849
0.64107,0.972675
0.632116,0.973265
0.604423,0.960287
0.558378,0.970701
0.560291,0.984657
0.529458,0.942935
0.519144,0.968864
0.609844,0.978822
0.612364,0.979264
0.596383,0.969082
0.59878,0.96009
0.59414,0.964568
0.629039,0.977393
0.61367,0.977926
0.592446,0.956106
0.623623,0.964523
0.596893,0.97013
0.569118,0.952505
0.534423,0.940923
0.539456,0.957604
0.549789,0.957559
0.560199,0.965518
0.537857,0.974754
0.541998,0.976686
0.542247,0.973146
0.520383,0.972118
0.496791,0.981217
0.470856,0.975583
0.493214,0.956966
0.525503,0.817322
0.623269,0.959523
0.634559,0.970585
0.622355,0.974561
0.605692,0.971376
0.58939,0.965676
0.594473,0.961627
0.626918,0.966254
0.618296,0.980265
0.578917,0.971342
0.540819,0.953179
0.520111,0.964871
0.554855,0.951961
0.553557,0.962284
0.495562,0.968656
0.529996,0.973585
0.580138,0.952132
0.585839,0.971485
0.617342,0.973062
0.626583,0.97773
0.625781,0.959725
0.62259,0.96296
0.634444,0.970601
0.631129,0.965799
0.600255,0.961735
0.616398,0.97574
0.611823,0.975689
0.619171,0.95683
0.606429,0.961453
0.626163,0.971771
0.635663,0.97522
0.619227,0.978182
0.597081,0.97902
0.566701,0.943476
0.599262,0.951826
0.618578,0.967664
0.638915,0.973483
0.603578,0.965981
0.574325,0.964406
0.555459,0.964803
0.584972,0.952202
0.584507,0.964001
0.598183,0.954386
0.552637,0.964881
0.57648,0.96376
0.57343,0.959785
0.554969,0.969897
0.54429,0.963078
0.551756,0.938798
0.51993,0.930882
0.505298,0.925095
0.509733,0.95538
0.55807,0.933663
0.50666,0.965077
0.550592,0.962571
0.574623,0.97294
0.586266,0.977626
0.593515,0.962501
0.586689,0.941273
0.560024,0.951831
0.599786,0.973549
0.614645,0.976345
0.598654,0.964213
0.598626,0.984158
0.606903,0.972093
0.592826,0.983577
0.600442,0.972929
0.586542,0.967647
0.613381,0.967166
0.61239,0.970969
0.599557,0.967796
0.62318,0.973235
0.582149,0.977225
0.558545,0.969192
0.594169,0.968128
0.629586,0.970816
0.592169,0.85478
0.643134,0.975813
0.640124,0.979238
0.637219,0.974731
0.649936,0.978504
0.652071,0.973941
