"gc","map"
0.611386,0.980856
0.603776,0.968761
0.594076,0.982063
0.561056,0.976
0.577226,0.972352
0.619486,0.953032
0.628016,0.982747
0.582446,0.98782
0.575206,0.990556
0.576356,0.98053
0.595386,0.986477
0.594316,0.980672
0.587366,0.987661
0.603196,0.976774
0.591906,0.95312
0.600976,0.98121
0.606666,0.983382
0.594516,0.98878
0.588276,0.975735
0.579026,0.978865
0.588606,0.95598
0.585046,0.976377
0.583016,0.96891
0.576266,0.975334
0.600746,0.973287
0.603096,0.964196
0.578426,0.970426
0.565466,0.989937
0.570116,0.9679
0.571726,0.984823
0.588706,0.985365
0.593596,0.957933
0.602946,0.958914
0.597946,0.969991
0.590786,0.931622
0.592226,0.949844
0.600856,0.979969
0.635696,0.970447
0.596406,0.981892
0.621316,0.9863
0.622626,0.983328
0.623756,0.96475
0.627966,0.965523
0.620316,0.957121
0.629966,0.979105
0.607756,0.96813
0.607306,0.945578
0.608966,0.983257
0.571206,0.980707
0.581206,0.974243
0.611126,0.978153
0.626156,0.983172
0.603886,0.977734
0.590926,0.98649
0.595956,0.956671
0.592676,0.96309
0.582986,0.936906
0.607656,0.957968
0.608776,0.944531
0.591456,0.953647
0.556716,0.928965
0.538325,0.940141
0.544585,0.957474
0.602826,0.957418
0.645706,0.957537
0.629986,0.959768
0.595946,0.911153
0.640256,0.972364
0.583846,0.98448
0.586756,0.981994
0.616686,0.980758
0.609186,0.95285
0.569176,0.947108
0.631426,0.962106
0.631456,0.94891
0.567336,0.978226
0.570136,0.978859
0.594576,0.987578
0.587806,0.990322
0.595926,0.984131
0.587246,0.974551
0.608276,0.95045
0.580136,0.949865
0.586216,0.967064
0.609226,0.98653
0.594476,0.978393
0.610086,0.963577
0.579996,0.981239
0.585746,0.965195
0.574966,0.95758
0.562096,0.932376
0.592686,0.963403
0.602466,0.983698
0.608266,0.958741
0.619866,0.950058
0.627156,0.940555
0.618796,0.970301
0.637756,0.955558
0.630756,0.983934
0.638966,0.973853
0.625876,0.944696
0.608866,0.976469
0.609396,0.988301
0.605416,0.943517
0.618426,0.982563
0.616246,0.980911
0.632476,0.968646
0.638876,0.965041
0.629146,0.975799
0.612946,0.976716
0.607076,0.937383
0.598176,0.940076
0.586666,0.95841
0.579376,0.942846
0.561226,0.955262
0.583286,0.973322
0.581086,0.988054
0.593346,0.986791
0.606786,0.972072
0.609356,0.946314
0.578996,0.982689
0.594266,0.960639
0.590186,0.950803
0.630776,0.980196
0.640356,0.973092
0.638616,0.969297
0.621186,0.971548
0.616116,0.956493
0.612156,0.957305
0.632846,0.968588
0.635056,0.965606
0.631626,0.982505
0.626546,0.956567
0.633776,0.965109
0.638866,0.979769
0.653627,0.986397
0.647146,0.986606
0.651677,0.954428
0.631236,0.936349
0.651466,0.987842
0.646866,0.977672
0.625016,0.967348
0.603236,0.942582
0.605786,0.959198
0.618256,0.949916
0.628936,0.96985
0.621186,0.960298
0.616406,0.973221
0.621826,0.98041
0.624326,0.98994
0.623926,0.941663
0.633896,0.978172
0.634236,0.971549
0.646896,0.988926
0.637396,0.990782
0.646876,0.980944
0.640136,0.984197
0.640046,0.977064
0.656217,0.987409
0.661287,0.993482
0.664657,0.986385
0.661097,0.98694
0.645266,0.962573
0.647556,0.973727
0.649067,0.986048
0.650106,0.989904
0.653827,0.990486
0.645206,0.966969
0.645416,0.934931
